"Achievements.ARCHAEOLOGIST_Description","Kill Doctor Bones."
"ItemTooltip.EyeballFlyingFishBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.EyeballFlyingFish}"
"ItemTooltip.Eyebrella","'Don't get rain in your eye!'"
"ItemTooltip.EyeOfCthulhuBossBag","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.EyeOfCthulhuPetItem","Summons a suspicious eye
'Seems to have lost its look.'"
"ItemTooltip.EyeoftheGolem","10% increased critical strike chance"
"ItemTooltip.EyeSpring","Summons an eyeball spring"
"ItemTooltip.EyezorBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.Eyezor}"
"ItemTooltip.FaceMonsterBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.FaceMonster}"
"ItemTooltip.FacingtheCerebralMastermind","{$PaintingArtist.Kolf}"
"ItemTooltip.FairyBell","Summons a magical fairy"
"ItemTooltip.FairyBoots","Allows flight
The wearer can run super fast
Flowers grow on the grass you walk on"
"ItemTooltip.FairyCritterBlue","'Hey! Listen!'"
"ItemTooltip.FairyCritterGreen","'Hey! Listen!'"
"ItemTooltip.FairyCritterPink","'Hey! Listen!'"
"ItemTooltip.FairyGlowstick","Hovers when thrown
Works when wet"
"ItemTooltip.FairyQueenBossBag","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.FairyQueenPetItem","Summons a fairy princess to provide light
'A glowing gemstone that houses a powerful fairy.'"
"ItemTooltip.FairyWings","{$CommonItemTooltip.FlightAndSlowfall}"
"ItemTooltip.FallenStar","Disappears after the sunrise"
"ItemTooltip.FartInABalloon","Allows the holder to double jump
Increases jump height"
"ItemTooltip.FartinaJar","Allows the holder to double jump"
"ItemTooltip.FastClock","Immunity to Slow"
"ItemTooltip.FatherofSomeone","{$PaintingArtist.Crowno}"
"ItemTooltip.FeatherfallPotion","Slows falling speed"
"ItemTooltip.Fedora","'*tips* M'lady'"
"ItemTooltip.FeralClaws","12% increased melee speed
Enables auto swing for melee weapons"
"ItemTooltip.FestiveWings","{$CommonItemTooltip.FlightAndSlowfall}"
"ItemTooltip.Fez","'Fezzes are cool'"
"ItemTooltip.FieryGreatsword","'It's made out of fire!'"
"ItemTooltip.FindingGold","{$PaintingArtist.Myhre}"
"ItemTooltip.FinWings","{$CommonItemTooltip.FlightAndSlowfall}"
"ItemTooltip.FireGauntlet","Increases melee knockback and melee attacks inflict fire damage
12% increased melee damage and speed
Enables auto swing for melee weapons
Increases the size of melee weapons"
"ItemTooltip.FireImpBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.FireImp}"
"ItemTooltip.FireproofBugNet","'For when things get too hot to handle'"
"ItemTooltip.FireWhip","{$CommonItemTooltip.Whips}
Strike enemies with blazing energy
Blazing energy explodes from enemies hit by summons"
"ItemTooltip.FirstEncounter","{$PaintingArtist.Crowno}"
"ItemTooltip.Fish","Summons a baby penguin"
"ItemTooltip.FishermansGuide","Displays fishing information"
"ItemTooltip.FishFinder","Displays weather, moon phase, and fishing information"
"ItemTooltip.FishingPotion","Increases fishing power"
"ItemTooltip.FishMinecart","Allows quick travel in water
'Deal with it'"
"ItemTooltip.FishronBossBag","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.FishronWings","{$CommonItemTooltip.FlightAndSlowfall}
Allows quick travel in water"
"ItemTooltip.Flairon","Spews homing bubbles"
"ItemTooltip.Flamelash","Summons a controllable ball of fire"
"ItemTooltip.Flamethrower","Uses gel for ammo"
"ItemTooltip.FlameWaderBoots","Provides the ability to walk on water, honey & lava
Grants immunity to fire blocks and 7 seconds of immunity to lava"
"ItemTooltip.FlameWakerBoots","'Never get cold feet again'"
"ItemTooltip.FlameWings","{$CommonItemTooltip.FlightAndSlowfall}"
"ItemTooltip.FlamingMace","'May the fire light your way'"
"ItemTooltip.FlaskofCursedFlames","Melee and Whip attacks inflict enemies with cursed flames"
"ItemTooltip.FlaskofFire","Melee and Whip attacks set enemies on fire"
"ItemTooltip.FlaskofGold","Melee and Whip attacks make enemies drop more gold"
"ItemTooltip.FlaskofIchor","Melee and Whip attacks decrease enemies defense"
"ItemTooltip.FlaskofNanites","Melee and Whip attacks confuse enemies"
"ItemTooltip.FlaskofParty","Melee and Whip attacks cause confetti to appear"
"ItemTooltip.FlaskofPoison","Melee and Whip attacks poison enemies"
"ItemTooltip.FlaskofVenom","Melee and Whip attacks inflict Venom on enemies"
"ItemTooltip.FleshCloningVaat","{$CommonItemTooltip.SpecialCrafting}"
"ItemTooltip.FleshKnuckles","Enemies are more likely to target you"
"ItemTooltip.FlinxFur","'It's so FLUFFY!'"
"ItemTooltip.FlinxFurCoat","Increases minion damage by 5%
Increases your max number of minions by 1"
"ItemTooltip.FlinxStaff","Summons a snow flinx to fight for you"
"ItemTooltip.Flipper","Grants the ability to swim"
"ItemTooltip.FlipperPotion","Lets you move swiftly in liquids"
"ItemTooltip.FloatingIslandFishingCrate","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.FloatingIslandFishingCrateHard","{$ItemTooltip.FloatingIslandFishingCrate}"
"ItemTooltip.FloatingTube","Grants the ability to float in water"
"ItemTooltip.FloatyGrossBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.FloatyGross}"
"ItemTooltip.FlockoBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.Flocko}"
"ItemTooltip.FloretProtectorChestplate","'ID.170122 - RSS ZEPHYRUS III'
Concept by yikescloud"
"ItemTooltip.FloretProtectorHelmet","'When a cosmic ray penetrates a star cloud, that fantastic light...'
Concept by yikescloud"
"ItemTooltip.FloretProtectorLegs","'I am a duck QUACK-QUACK-QUACK'
Concept by yikescloud"
"ItemTooltip.FlowerBoots","Flowers grow on the grass you walk on"
"ItemTooltip.FlowerofFire","Throws balls of fire"
"ItemTooltip.FlowerofFrost","Shoots a ball of frost"
"ItemTooltip.FlowerPow","Shoots razor sharp flower petals at nearby enemies"
"ItemTooltip.FlowingMagma","{$PaintingArtist.Craig}"
"ItemTooltip.FlurryBoots","The wearer can run super fast"
"ItemTooltip.FlyingAntlionBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.FlyingAntlion}"
"ItemTooltip.FlyingCarpet","Allows the owner to float for a few seconds"
"ItemTooltip.FlyingFishBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.FlyingFish}"
"ItemTooltip.FlyingKnife","Throws a controllable flying knife"
"ItemTooltip.FlyingSnakeBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.FlyingSnake}"
"ItemTooltip.FogMachine","Billows out fog"
"ItemTooltip.FoodBarbarianArmor","{$CommonItemTooltip.DevItem}
'Max was a good boy.'"
"ItemTooltip.FoodBarbarianGreaves","{$CommonItemTooltip.DevItem}
'They don't let me wear a loincloth anymore.'"
"ItemTooltip.FoodBarbarianHelm","{$CommonItemTooltip.DevItem}
'Safety First'"
"ItemTooltip.FoodBarbarianWings","{$CommonItemTooltip.DevItem}
{$CommonItemTooltip.FlightAndSlowfall}
'The holes cut down on weight.'"
"ItemTooltip.FoodPlatter","<right> to place item on plate"
"ItemTooltip.Football","Try to catch it!"
"ItemTooltip.FossilHelm","4% increased ranged critical strike chance"
"ItemTooltip.FossilPants","4% increased ranged critical strike chance"
"ItemTooltip.FossilShirt","5% increased ranged damage"
"ItemTooltip.FragmentNebula","'The power of a galaxy resides within this fragment'"
"ItemTooltip.FragmentSolar","'The fury of the universe lies within this fragment'"
"ItemTooltip.FragmentStardust","'Entrancing particles revolve around this fragment'"
"ItemTooltip.FragmentVortex","'Swirling energies emanate from this fragment'"
"ItemTooltip.FrankensteinBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.Frankenstein}"
"ItemTooltip.FriedEgg","{$CommonItemTooltip.MediumStats}
'Sunny side up!'"
"ItemTooltip.Fries","{$CommonItemTooltip.MediumStats}
'Where's the Ketchup!?'"
"ItemTooltip.FritzBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.Fritz}"
"ItemTooltip.FrogFlipper","Grants the ability to swim
Increases jump speed and allows auto-jump
Increases fall resistance"
"ItemTooltip.FrogGear","Grants the ability to swim
Allows the ability to climb walls
Increases jump speed and allows auto-jump
Increases fall resistance
'It ain't easy being green'"
"ItemTooltip.FroggleBunwich","{$CommonItemTooltip.MediumStats}
'Has a bit of a kick to it.'"
"ItemTooltip.FrogLeg","Increases jump speed and allows auto-jump
Increases fall resistance"
"ItemTooltip.FrogWebbing","Allows the ability to climb walls
Increases jump speed and allows auto-jump
Increases fall resistance"
"ItemTooltip.Frostbrand","Shoots an icy bolt"
"ItemTooltip.FrostBreastplate","11% increased melee and ranged critical strike chance"
"ItemTooltip.FrostHelmet","16% increased melee and ranged damage"
"ItemTooltip.FrostLeggings","8% increased movement speed
10% increased melee attack speed"
"ItemTooltip.FrostsparkBoots","Allows flight, super fast running, and extra mobility on ice
8% increased movement speed"
"ItemTooltip.FrostStaff","Shoots a stream of frost"
"ItemTooltip.FrozenCampfire","Life regen is increased when near a campfire"
"ItemTooltip.FrozenCrate","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.FrozenCrateHard","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.FrozenKey","Unlocks an Ice Chest in the dungeon"
"ItemTooltip.FrozenKeyMold","Used for crafting a Frozen Key"
"ItemTooltip.FrozenShield","Grants immunity to knockback
Puts a shell around the owner when below 50% life that reduces damage by 25%
Absorbs 25% of damage done to players on your team when above 25% life"
"ItemTooltip.FrozenTurtleShell","Puts a shell around the owner when below 50% life that reduces damage by 25%"
"ItemTooltip.FrozenWings","{$CommonItemTooltip.FlightAndSlowfall}"
"ItemTooltip.FruitJuice","{$CommonItemTooltip.MinorStats}
'With 5% real fruit juice!'"
"ItemTooltip.FruitSalad","{$CommonItemTooltip.MinorStats}"
"ItemTooltip.FullMoonSqueakyToy","Summons a baby werewolf"
"ItemTooltip.FungiBulbBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.FungiBulb}"
"ItemTooltip.FungoFishBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.FungoFish}"
"ItemTooltip.Furnace","Used for smelting ore"
"ItemTooltip.FuzzyCarrot","Summons a rideable Bunny mount"
"ItemTooltip.GameMasterPants","'I thought I told you to clean up your room!'"
"ItemTooltip.GameMasterShirt","'I thought I told you to clean up your room!'"
"ItemTooltip.GardenGnome","'Said to bring good fortune and keep evil spirits at bay'"
"ItemTooltip.GarlandHat","'It smells like prettiness.'"
"ItemTooltip.GastropodBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.Gastropod}"
"ItemTooltip.Gatligator","50% chance to not consume ammo
Highly inaccurate"
"ItemTooltip.Gel","'Both tasty and flammable'"
"ItemTooltip.GelBalloon","'Filled with Party Girl bathwater'"
"ItemTooltip.GemLockAmber","<right> to place or remove Large Ambers"
"ItemTooltip.GemLockAmethyst","<right> to place or remove Large Amethysts"
"ItemTooltip.GemLockDiamond","<right> to place or remove Large Diamonds"
"ItemTooltip.GemLockEmerald","<right> to place or remove Large Emeralds"
"ItemTooltip.GemLockRuby","<right> to place or remove Large Rubies"
"ItemTooltip.GemLockSapphire","<right> to place or remove Large Sapphires"
"ItemTooltip.GemLockTopaz","<right> to place or remove Large Topazes"
"ItemTooltip.Geode","May drop valuable shinies when smashed!"
"ItemTooltip.GhostarPants","{$CommonItemTooltip.DevItem}
'The journey of a thousand miles begins with one step'"
"ItemTooltip.GhostarShirt","{$CommonItemTooltip.DevItem}
'A fine dress handmade by a dragon'"
"ItemTooltip.GhostarSkullPin","{$CommonItemTooltip.DevItem}
'Could this be the real Ghostar?'"
"ItemTooltip.GhostarsWings","{$CommonItemTooltip.DevItem}
{$CommonItemTooltip.FlightAndSlowfall}
'I am right here'"
"ItemTooltip.GhostBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.Ghost}"
"ItemTooltip.GhostManifestation","{$PaintingArtist.Crowno}"
"ItemTooltip.GhostWings","{$CommonItemTooltip.FlightAndSlowfall}"
"ItemTooltip.Gi","5% increased damage and critical strike chance
10% increased melee and movement speed"
"ItemTooltip.GiantBatBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GiantBat}"
"ItemTooltip.GiantCursedSkullBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GiantCursedSkull}"
"ItemTooltip.GiantFlyingFoxBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GiantFlyingFox}"
"ItemTooltip.GiantShellyBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GiantShelly}"
"ItemTooltip.GillsPotion","Breathe water instead of air"
"ItemTooltip.GingerbreadCookie","{$CommonItemTooltip.MajorStats}
'Not the gumdrop buttons!'"
"ItemTooltip.GingerbreadManBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GingerbreadMan}"
"ItemTooltip.Gladius","'Are you not entertained?!'"
"ItemTooltip.GlassKiln","{$CommonItemTooltip.SpecialCrafting}"
"ItemTooltip.GlommerPetItem","Summons a Glommer
'The petals shimmer in the light'"
"ItemTooltip.GloriousNight","{$PaintingArtist.Duncan}"
"ItemTooltip.GloryoftheFire","{$PaintingArtist.Garner}"
"ItemTooltip.GlowPaint","'What a bright idea!'"
"ItemTooltip.Glowstick","Works when wet"
"ItemTooltip.GnomeBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.Gnome}"
"ItemTooltip.GoblinArcherBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GoblinArcher}"
"ItemTooltip.GoblinBattleStandard","Summons a Goblin Army"
"ItemTooltip.GoblinPeonBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GoblinPeon}"
"ItemTooltip.GoblinScoutBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GoblinScout}"
"ItemTooltip.GoblinSharkBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GoblinShark}"
"ItemTooltip.GoblinSorcererBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GoblinSorcerer}"
"ItemTooltip.GoblinsPlayingPoker","{$PaintingArtist.Garner}"
"ItemTooltip.GoblinSummonerBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GoblinSummoner}"
"ItemTooltip.GoblinTech","Displays movement speed, damage per second, and valuable ore"
"ItemTooltip.GoblinThiefBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GoblinThief}"
"ItemTooltip.GoblinWarriorBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GoblinWarrior}"
"ItemTooltip.GoldenBugNet","Used to catch critters
Can catch lava critters too!"
"ItemTooltip.GoldenBullet","Enemies killed will drop more money"
"ItemTooltip.GoldenCarp","Quite shiny. This will probably sell well."
"ItemTooltip.GoldenCrate","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.GoldenCrateHard","{$ItemTooltip.GoldenCrate}"
"ItemTooltip.GoldenDelight","{$CommonItemTooltip.MajorStats}
'(Au)some!'"
"ItemTooltip.GoldenKey","Opens one locked Gold Chest or Lock Box"
"ItemTooltip.GoldenShower","Sprays a shower of ichor
Decreases target's defense"
"ItemTooltip.Goldfish","'It's smiling, might be a good snack'"
"ItemTooltip.GoldfishBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.Goldfish}"
"ItemTooltip.GoldGoldfish","'Not to be confused with the elusive Gold Gold Goldfish'"
"ItemTooltip.GoldGoldfishBowl","'Is it a gold bowl? Or a gold fish?'"
"ItemTooltip.GoldPickaxe","Can mine Meteorite"
"ItemTooltip.GoldRing","Increases coin pickup range"
"ItemTooltip.GoldWatch","Tells the time"
"ItemTooltip.GolemBossBag","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.GolemFist","Punches with the force of a golem"
"ItemTooltip.GolemPetItem","Summons a toy golem to light your way
'Power cells not included.'"
"ItemTooltip.GolfBall","{$CommonItemTooltip.GolfBall}"
"ItemTooltip.GolfBallDyedBlack","{$CommonItemTooltip.GolfBall}"
"ItemTooltip.GolfBallDyedBlue","{$CommonItemTooltip.GolfBall}"
"ItemTooltip.GolfBallDyedBrown","{$CommonItemTooltip.GolfBall}"
"ItemTooltip.GolfBallDyedCyan","{$CommonItemTooltip.GolfBall}"
"ItemTooltip.GolfBallDyedGreen","{$CommonItemTooltip.GolfBall}"
"ItemTooltip.GolfBallDyedLimeGreen","{$CommonItemTooltip.GolfBall}"
"ItemTooltip.GolfBallDyedOrange","{$CommonItemTooltip.GolfBall}"
"ItemTooltip.GolfBallDyedPink","{$CommonItemTooltip.GolfBall}"
"ItemTooltip.GolfBallDyedPurple","{$CommonItemTooltip.GolfBall}"
"ItemTooltip.GolfBallDyedRed","{$CommonItemTooltip.GolfBall}"
"ItemTooltip.GolfBallDyedSkyBlue","{$CommonItemTooltip.GolfBall}"
"ItemTooltip.GolfBallDyedTeal","{$CommonItemTooltip.GolfBall}"
"ItemTooltip.GolfBallDyedViolet","{$CommonItemTooltip.GolfBall}"
"ItemTooltip.GolfBallDyedYellow","{$CommonItemTooltip.GolfBall}"
"ItemTooltip.GolfCart","Summons a rideable Golf Cart mount"
"ItemTooltip.GolfClubBronzeWedge","{$CommonItemTooltip.GolfWedge}"
"ItemTooltip.GolfClubChlorophyteDriver","{$CommonItemTooltip.GolfDriver}"
"ItemTooltip.GolfClubDiamondWedge","{$CommonItemTooltip.GolfWedge}"
"ItemTooltip.GolfClubDriver","{$CommonItemTooltip.GolfDriver}"
"ItemTooltip.GolfClubGoldWedge","{$CommonItemTooltip.GolfWedge}"
"ItemTooltip.GolfClubIron","{$CommonItemTooltip.GolfIron}"
"ItemTooltip.GolfClubLeadPutter","{$CommonItemTooltip.GolfPutter}"
"ItemTooltip.GolfClubMythrilIron","{$CommonItemTooltip.GolfIron}"
"ItemTooltip.GolfClubPearlwoodDriver","{$CommonItemTooltip.GolfDriver}"
"ItemTooltip.GolfClubPutter","{$CommonItemTooltip.GolfPutter}"
"ItemTooltip.GolfClubRustyPutter","{$CommonItemTooltip.GolfPutter}"
"ItemTooltip.GolfClubShroomitePutter","{$CommonItemTooltip.GolfPutter}"
"ItemTooltip.GolfClubStoneIron","{$CommonItemTooltip.GolfIron}"
"ItemTooltip.GolfClubTitaniumIron","{$CommonItemTooltip.GolfIron}"
"ItemTooltip.GolfClubWedge","{$CommonItemTooltip.GolfWedge}"
"ItemTooltip.GolfClubWoodDriver","{$CommonItemTooltip.GolfDriver}"
"ItemTooltip.GolfCup","Aim to sink your golf ball in the cup
Lets everyone know how well you did"
"ItemTooltip.GolfPainting1","{$PaintingArtist.Crowno}"
"ItemTooltip.GolfPainting2","{$PaintingArtist.Crowno}"
"ItemTooltip.GolfPainting3","{$PaintingArtist.Crowno}"
"ItemTooltip.GolfPainting4","'Ceci n'est pas un club de golf.'
{$PaintingArtist.Crowno}"
"ItemTooltip.GolfTee","<right> to place a golf ball on it"
"ItemTooltip.GolfWhistle","Returns your last hit Golf Ball to its previous position
Has a one stroke penalty"
"ItemTooltip.GoodieBag","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.GoodMorning","{$PaintingArtist.Crowno}"
"ItemTooltip.GPS","Shows position
Tells the time"
"ItemTooltip.GraniteFlyerBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GraniteFlyer}"
"ItemTooltip.GraniteGolemBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GraniteGolem}"
"ItemTooltip.Grapefruit","{$CommonItemTooltip.MinorStats}"
"ItemTooltip.GrapeJuice","{$CommonItemTooltip.MajorStats}
'Sugar. Water. Purple.'"
"ItemTooltip.Grapes","{$CommonItemTooltip.MediumStats}
'Wrath not included.'"
"ItemTooltip.GrapplingHook","'Get over here!'"
"ItemTooltip.Grate","Allows only liquids through
Can be toggled open or closed
'They'rrrre great!'"
"ItemTooltip.GravediggerShovel","Digs in a bigger area than a pickaxe
Only digs up soft tiles
'Can you dig it?'"
"ItemTooltip.Graveyard","{$PaintingArtist.Crowno}"
"ItemTooltip.GravitationPotion","Allows the control of gravity"
"ItemTooltip.GravityGlobe","Allows the holder to reverse gravity
Press UP to change gravity"
"ItemTooltip.GrayPressurePlate","Activates when a player steps on it"
"ItemTooltip.GreatWave","{$PaintingArtist.Crowno}"
"ItemTooltip.GreedyRing","Increases coin pickup range and shops prices lowered by 20%
Hitting enemies will sometimes drop extra coins"
"ItemTooltip.GreekSkeletonBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GreekSkeleton}"
"ItemTooltip.GreenAndWhiteGarland","{$CommonItemTooltip.PlaceableOnXmasTree}"
"ItemTooltip.GreenBulb","{$CommonItemTooltip.PlaceableOnXmasTree}"
"ItemTooltip.GreenCounterweight","{$CommonItemTooltip.Counterweight}"
"ItemTooltip.GreenGardland","{$CommonItemTooltip.PlaceableOnXmasTree}"
"ItemTooltip.GreenJellyfishBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GreenJellyfish}"
"ItemTooltip.GreenLights","{$CommonItemTooltip.PlaceableOnXmasTree}"
"ItemTooltip.GreenMushroom","Used to make Green Dye"
"ItemTooltip.GreenPresent","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.GreenPressurePlate","Activates when stepped on"
"ItemTooltip.GreenSlimeBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.GreenSlime}"
"ItemTooltip.GreenSolution","Used by the Clentaminator
Spreads the Purity"
"ItemTooltip.GreenString","{$CommonItemTooltip.String}"
"ItemTooltip.GreenWrench","Places green wire"
"ItemTooltip.Grenade","A small explosion that will not destroy tiles"
"ItemTooltip.GrilledSquirrel","{$CommonItemTooltip.MinorStats}
'That'll keep you out of my birdfeeders...'"
"ItemTooltip.GroxTheGreatArmor","{$CommonItemTooltip.DevItem}"
"ItemTooltip.GroxTheGreatGreaves","{$CommonItemTooltip.DevItem}"
"ItemTooltip.GroxTheGreatHelm","{$CommonItemTooltip.DevItem}"
"ItemTooltip.GroxTheGreatWings","{$CommonItemTooltip.DevItem}
{$CommonItemTooltip.FlightAndSlowfall}"
"ItemTooltip.GrubSoup","{$CommonItemTooltip.MediumStats}
'Grub's up!'"
"ItemTooltip.GuidePicasso","{$PaintingArtist.Crowno}"
"ItemTooltip.GuideVoodooDoll","'You are a terrible person.'"
"ItemTooltip.GypsyRobe","6% increased magic damage and critical strike chance
Reduces mana usage by 10%"
"ItemTooltip.HallowedCampfire","Life regen is increased when near a campfire"
"ItemTooltip.HallowedFishingCrate","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.HallowedFishingCrateHard","{$ItemTooltip.HallowedFishingCrate}"
"ItemTooltip.HallowedGreaves","7% increased damage
8% increased movement speed"
"ItemTooltip.HallowedHeadgear","Increases maximum mana by 100
12% increased magic damage and critical strike chance"
"ItemTooltip.HallowedHelmet","15% increased ranged damage
8% increased ranged critical strike chance"
"ItemTooltip.HallowedHood","Increases your max number of minions by 1
Increases minion damage by 10%"
"ItemTooltip.HallowedKey","Unlocks a Hallowed Chest in the dungeon"
"ItemTooltip.HallowedKeyMold","Used for crafting a Hallowed Key"
"ItemTooltip.HallowedMask","10% increased melee damage and critical strike chance
10% increased melee speed"
"ItemTooltip.HallowedPlateMail","7% increased critical strike chance"
"ItemTooltip.HallowJoustingLance","Build momentum to increase attack power"
"ItemTooltip.HallowsEve","{$PaintingArtist.Lazure}"
"ItemTooltip.HamBat","Grows more powerful the better fed you are
Defeating enemies temporarily improves healing
'TIS A WEAPON O' PIG BUTT!'"
"ItemTooltip.Hammush","Strong enough to destroy Demon Altars"
"ItemTooltip.HandEarth","{$PaintingArtist.Myhre}"
"ItemTooltip.HandWarmer","Provides immunity to chill and freezing effects"
"ItemTooltip.HardySaddle","Summons a rideable Turtle mount"
"ItemTooltip.HarpyBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.Harpy}"
"ItemTooltip.HarpyWings","{$CommonItemTooltip.FlightAndSlowfall}"
"ItemTooltip.HatRack","<right> when placed to display hats and helmets"
"ItemTooltip.HeadlessHorsemanBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.HeadlessHorseman}"
"ItemTooltip.HeartLantern","Increases life regeneration when placed nearby"
"ItemTooltip.HeartreachPotion","Increases pickup range for life hearts"
"ItemTooltip.HeatRay","Shoots a scorching ray of heat
'Oolaa!!'"
"ItemTooltip.HeavyWorkBench","Used for advanced crafting"
"ItemTooltip.HellArmoredBonesBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.HellArmoredBones}"
"ItemTooltip.HellbatBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.Hellbat}"
"ItemTooltip.HellCake","Summons a baby imp
'He hasn't learned how to teleport yet!'"
"ItemTooltip.HellfireTreads","Provides the ability to walk on water, honey & lava
Grants immunity to fire blocks and 7 seconds of immunity to lava
Reduces damage from touching lava
Leaves a trail of flames in your wake"
"ItemTooltip.HellhoundBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.Hellhound}"
"ItemTooltip.HellMinecart","Provides 7 seconds of immunity to lava"
"ItemTooltip.HellstoneBar","'Hot to the touch'"
"ItemTooltip.HellwingBow","Wooden arrows turn into flaming bats"
"ItemTooltip.HerbBag","{$CommonItemTooltip.RightClickToOpen}"
"ItemTooltip.HerculesBeetle","Increases the damage of your minions by 15%
Increases the knockback of your minions"
"ItemTooltip.HermesBoots","The wearer can run super fast"
"ItemTooltip.HeroShield","Grants immunity to knockback
Absorbs 25% of damage done to players on your team when above 25% life
Enemies are more likely to target you"
"ItemTooltip.HerplingBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.Herpling}"
"ItemTooltip.HighTestFishingLine","Fishing line will never break"
"ItemTooltip.HiveBackpack","Increases the strength of friendly bees"
"ItemTooltip.HiveWand","Places Hives"
"ItemTooltip.HolyArrow","Summons falling stars on impact"
"ItemTooltip.HolyWater","Spreads the Hallow to some blocks"
"ItemTooltip.HoneyBalloon","Increases jump height
Releases bees and douses the user in honey when damaged"
"ItemTooltip.HoneyBomb","A small explosion that will spread honey"
"ItemTooltip.HoneyBucket","Contains a small amount of honey
Can be poured out"
"ItemTooltip.HoneyComb","Releases bees and douses the user in honey when damaged"
"ItemTooltip.HoneyDispenser","{$CommonItemTooltip.SpecialCrafting}"
"ItemTooltip.HoneyedGoggles","Summons a rideable Bee mount"
"ItemTooltip.HoneyRocket","Spreads honey on impact"
"ItemTooltip.Hook","Sometimes dropped by Skeletons and Piranha"
"ItemTooltip.HoppinJackBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.HoppinJack}"
"ItemTooltip.HornetBanner","{$CommonItemTooltip.BannerBonus}{$NPCName.Hornet}"
"ItemTooltip.HornetStaff","Summons a hornet to fight for you"
"ItemTooltip.Hotdog","{$CommonItemTooltip.MediumStats}
'Hot diggity!'"
"ItemTooltip.HotlineFishingHook","{$CommonItemTooltip.LavaFishing}"
"ItemTooltip.HoundiusShootius","{$CommonItemTooltip.Sentry}
Summons an arcane construct to shoot optic blasts at your enemies
'Oh me oh my, look at that eye!'"
"ItemTooltip.Hoverboard","{$CommonItemTooltip.FlightAndSlowfall}
{$CommonItemTooltip.PressDownToHover}"
"ItemTooltip.HunterPotion","Shows the location of enemies"
"ItemTooltip.HuntressAltHead","Increases your max number of sentries by 2
10% increased minion damage and ranged critical strike chance"
"ItemTooltip.HuntressAltPants","25% increased minion damage and 10% increased ranged critical strike chance
20% increased movement speed"
"ItemTooltip.HuntressAltShirt","25% increased minion & ranged damage and 20% chance to not consume ammo"
"ItemTooltip.HuntressBuckler","Increase your max number of sentries by 1
Increases minion damage by 10%"
"ItemTooltip.HuntressJerkin","20% increased minion and ranged damage and 10% chance to not consume ammo"
"ItemTooltip.HuntressPants","10% increased minion damage and 20% increased movement speed"
"ItemTooltip.HuntressWig","Increases your max number of sentries by 1 and increases ranged critical strike chance by 10%"
